name,version,declared_license,applied_license,repository
@supabase/auth-js,2.104.0,MIT,MIT,https://github.com/supabase/supabase-js.git
@supabase/functions-js,2.104.0,MIT,MIT,https://github.com/supabase/supabase-js.git
@supabase/phoenix,0.4.0,MIT,MIT,git://github.com/supabase/phoenix.git
@supabase/postgrest-js,2.104.0,MIT,MIT,https://github.com/supabase/supabase-js.git
@supabase/realtime-js,2.104.0,MIT,MIT,https://github.com/supabase/supabase-js.git
@supabase/storage-js,2.104.0,MIT,MIT,https://github.com/supabase/supabase-js.git
@supabase/supabase-js,2.104.0,MIT,MIT,https://github.com/supabase/supabase-js.git
@types/node,22.19.17,MIT,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git
@types/ws,8.18.1,MIT,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped.git
base64-js,1.5.1,MIT,MIT,git://github.com/beatgammit/base64-js.git
better-sqlite3,11.10.0,MIT,MIT,git://github.com/WiseLibs/better-sqlite3.git
bindings,1.5.0,MIT,MIT,git://github.com/TooTallNate/node-bindings.git
bl,4.1.0,MIT,MIT,https://github.com/rvagg/bl.git
buffer,5.7.1,MIT,MIT,git://github.com/feross/buffer.git
chownr,1.1.4,ISC,ISC,git://github.com/isaacs/chownr.git
core-util-is,1.0.3,MIT,MIT,git://github.com/isaacs/core-util-is
decompress-response,6.0.0,MIT,MIT,https://github.com/sindresorhus/decompress-response
deep-extend,0.6.0,MIT,MIT,git://github.com/unclechu/node-deep-extend.git
detect-libc,2.1.2,Apache-2.0,Apache-2.0,git://github.com/lovell/detect-libc.git
dotenv,17.4.2,BSD-2-Clause,BSD-2-Clause,git://github.com/motdotla/dotenv.git
end-of-stream,1.4.5,MIT,MIT,git://github.com/mafintosh/end-of-stream.git
expand-template,2.0.3,(MIT OR WTFPL),MIT,https://github.com/ralphtheninja/expand-template.git
file-uri-to-path,1.0.0,MIT,MIT,git://github.com/TooTallNate/file-uri-to-path.git
fs-constants,1.0.0,MIT,MIT,https://github.com/mafintosh/fs-constants.git
github-from-package,0.0.0,MIT,MIT,git://github.com/substack/github-from-package.git
iceberg-js,0.8.1,MIT,MIT,https://github.com/supabase/iceberg-js
ieee754,1.2.1,BSD-3-Clause,BSD-3-Clause,git://github.com/feross/ieee754.git
immediate,3.0.6,MIT,MIT,git://github.com/calvinmetcalf/immediate.git
inherits,2.0.4,ISC,ISC,git://github.com/isaacs/inherits
ini,1.3.8,ISC,ISC,git://github.com/isaacs/ini.git
isarray,1.0.0,MIT,MIT,git://github.com/juliangruber/isarray.git
js-tokens,4.0.0,MIT,MIT,https://github.com/lydell/js-tokens
jszip,3.10.1,(MIT OR GPL-3.0-or-later),MIT,https://github.com/Stuk/jszip.git
lie,3.3.0,MIT,MIT,https://github.com/calvinmetcalf/lie.git
loose-envify,1.4.0,MIT,MIT,git://github.com/zertosh/loose-envify.git
lucide-react,1.16.0,ISC,ISC,https://github.com/lucide-icons/lucide.git
mimic-response,3.1.0,MIT,MIT,https://github.com/sindresorhus/mimic-response
minimist,1.2.8,MIT,MIT,git://github.com/minimistjs/minimist.git
mkdirp-classic,0.5.3,MIT,MIT,https://github.com/mafintosh/mkdirp-classic.git
napi-build-utils,2.0.0,MIT,MIT,git+https://github.com/inspiredware/napi-build-utils.git
node-abi,3.89.0,MIT,MIT,git+https://github.com/electron/node-abi.git
once,1.4.0,ISC,ISC,git://github.com/isaacs/once
pako,1.0.11,(MIT AND Zlib),MIT AND Zlib,https://github.com/nodeca/pako
prebuild-install,7.1.3,MIT,MIT,https://github.com/prebuild/prebuild-install.git
process-nextick-args,2.0.1,MIT,MIT,https://github.com/calvinmetcalf/process-nextick-args.git
pump,3.0.4,MIT,MIT,git://github.com/mafintosh/pump.git
rc,1.2.8,(BSD-2-Clause OR MIT OR Apache-2.0),MIT,https://github.com/dominictarr/rc.git
react,18.3.1,MIT,MIT,https://github.com/facebook/react.git
react-dom,18.3.1,MIT,MIT,https://github.com/facebook/react.git
readable-stream,2.3.8,MIT,MIT,git://github.com/nodejs/readable-stream
readable-stream,3.6.2,MIT,MIT,git://github.com/nodejs/readable-stream
safe-buffer,5.1.2,MIT,MIT,git://github.com/feross/safe-buffer.git
safe-buffer,5.2.1,MIT,MIT,git://github.com/feross/safe-buffer.git
scheduler,0.23.2,MIT,MIT,https://github.com/facebook/react.git
semver,7.7.4,ISC,ISC,git+https://github.com/npm/node-semver.git
setimmediate,1.0.5,MIT,MIT,https://github.com/YuzuJS/setImmediate
simple-concat,1.0.1,MIT,MIT,git://github.com/feross/simple-concat.git
simple-get,4.0.1,MIT,MIT,git://github.com/feross/simple-get.git
string_decoder,1.1.1,MIT,MIT,git://github.com/nodejs/string_decoder.git
string_decoder,1.3.0,MIT,MIT,git://github.com/nodejs/string_decoder.git
strip-json-comments,2.0.1,MIT,MIT,https://github.com/sindresorhus/strip-json-comments
tar-fs,2.1.4,MIT,MIT,https://github.com/mafintosh/tar-fs.git
tar-stream,2.2.0,MIT,MIT,git+https://github.com/mafintosh/tar-stream.git
tslib,2.8.1,0BSD,0BSD,https://github.com/Microsoft/tslib.git
tunnel-agent,0.6.0,Apache-2.0,Apache-2.0,https://github.com/mikeal/tunnel-agent
undici-types,6.21.0,MIT,MIT,git+https://github.com/nodejs/undici.git
util-deprecate,1.0.2,MIT,MIT,git://github.com/TooTallNate/util-deprecate.git
uuid,11.1.0,MIT,MIT,https://github.com/uuidjs/uuid.git
wrappy,1.0.2,ISC,ISC,https://github.com/npm/wrappy
ws,8.20.0,MIT,MIT,git+https://github.com/websockets/ws.git
zod,3.25.76,MIT,MIT,git+https://github.com/colinhacks/zod.git
